product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Lemon Lokal 500gr,https://storage.googleapis.com/indo-astro/Lemon_Lokal_500gr_1659058307821_PRODUCT_240x240.png,7500,,0,2100,500
Buah Delima Peru 1 pcs,https://storage.googleapis.com/indo-astro/Buah_Delima_Peru_1_pcs_1658469286327_PRODUCT_240x240.png,61700,,0,1200,200
Belimbing Madu 1 Pack,https://storage.googleapis.com/indo-astro/Belimbing_Madu_1kg_1658463579576_PRODUCT_240x240.png,18600,,0,3000,800
Strawberry Grade A Lafresa 1 Pack,https://storage.googleapis.com/indo-astro/Strawberry_Grade_A_Lafresa_1_Pack_1656311228829_PRODUCT_240x240.png,66500,,0,840,220
Durian Monthong Palu 500gr,https://storage.googleapis.com/indo-astro/Durian_Monthong_Palu_500gr_1655695721152_PRODUCT_240x240.png,91100,,0,1774.5,500
Pisang Frui Baby 1 Pack,https://storage.googleapis.com/indo-astro/Pisang_Frui_Baby_1_Pack_1658985006966_PRODUCT_240x240.png,10500,,0,1000,500
Puree Jambu Merah 500gr,https://storage.googleapis.com/indo-astro/Puree_Jambu_Merah_500gr_PRODUCT_1644978326444_240x240.png,24500,,0,1000,500
Melon Inthanon Size M,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_M_1649228768869_PRODUCT_240x240.png,48000,,0,1000,1000
Baby Buncis 250gr,https://storage.googleapis.com/indo-astro/Baby_Buncis_250gr_1650351757533_PRODUCT_240x240.png,11800,,4,1000,250
Brokoli Besar,https://storage.googleapis.com/indo-astro/Brokoli_Besar_1650352169435_PRODUCT_240x240.png,24900,,9,1000,500
Buncis Super 250gr,https://storage.googleapis.com/indo-astro/Buncis_Super_250gr_1650352460114_PRODUCT_240x240.png,6700,,4,1000,250
Daun Seledri 250gr,https://storage.googleapis.com/indo-astro/Astro_Farm_Daun_Seledri_250gr_PRODUCT_240x240.png,9900,,2,7000,250
Jagung Acar 250gr,https://storage.googleapis.com/indo-astro/Jagung_Acar_250gr_1650353361768_PRODUCT_240x240.png,8500,,9,600,250
Jamur Kuping 250gr,https://storage.googleapis.com/indo-astro/Jamur_Kuping_250gr_1650354516628_PRODUCT_240x240.png,8900,,1,2415,200
Jamur Tiram 300gr,https://storage.googleapis.com/indo-astro/Jamur_Tiram_300gr_1650357859658_PRODUCT_240x240.png,8900,,2,1000,300
Kacang Edamame 1kg,https://storage.googleapis.com/indo-astro/Kacang_Edamame_1kg_240x240.png,26900,,5,1000,1000
Kacang Panjang 250gr,https://storage.googleapis.com/indo-astro/Kacang_Panjang_250gr_1650361107664_PRODUCT_240x240.png,6700,,6,2756,250
Kembang Kol 1 pcs,https://storage.googleapis.com/indo-astro/Kembang_Kol_1_pcs_1650361235811_PRODUCT_240x240.png,19800,,9,6000,500
Kentang Dieng Conventional 1kg,https://storage.googleapis.com/indo-astro/Kentang_Dieng_Conventional_1kg_240x240.png,21900,,3,1000,1000
Kol Putih Conventional 500gr,https://storage.googleapis.com/indo-astro/Kol_Putih_Conventional_500gr_1650361329373_PRODUCT_240x240.png,9500,,8,308,500
Labu Siam 1 Pack,https://storage.googleapis.com/indo-astro/Labu_Siam_500gr_1650361422169_PRODUCT_240x240.png,5800,,10,264,500
Pete Kupas Fresh 100gr,https://storage.googleapis.com/indo-astro/Pete_Kupas_Fresh_100gr_1647496583786_PRODUCT_240x240.png,29500,,3,308,100
Sawi Putih 1 pcs,https://storage.googleapis.com/indo-astro/Sawi_Putih_1_pcs_1650363218307_PRODUCT_240x240.png,11100,,4,1000,500
