good_id,name,price,imageUrl,countReview,location
1225147544,Kentang 1 Kg,Rp14.900,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/8/23/c3496f3c-d493-47a0-9079-539a5757223f.jpg,1299,Tangerang
842279196,Ubi Merah 1 Kg,Rp9.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/13/2a8260ae-28cb-42cd-a8e0-560eab8d7df2.jpg,316,Tangerang
1097993603,Zucchini / Cukini / Zucini,Rp10.900,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/25/30497455/30497455_28a7b288-8c90-4b7f-8745-b3267c0714fc_700_700,256,Jakarta Barat
1289355590,Mesclun Salad 250 gr,Rp36.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/a619e286-2500-4033-87ee-a7711903d5f2.png,441,Tangerang Selatan
1446493642,HarvestMoon Celery Stick Import Organik 1kg / Seledri,Rp26.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/21/650e494f-6c2b-4f2e-97e9-456a7fdf6a06.jpg,2864,Jakarta Barat
842360284,Bayam Hijau 1 Ikat,Rp3.200,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/13/77dd2cbc-3293-4c18-ae87-31a944fd2949.jpg,797,Tangerang
740704113,Romaine Lettuce 500 gr FreshBox,Rp12.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/14/acb3e0b4-101d-45c4-afa6-3396e16feae8.png,1557,Tangerang
3938727716,Frozen Raspberry (IQF) | Buah Rasberi Beku | 450 gram,Rp122.500,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/25/d237a468-a94f-4c5d-9446-87ba728a5705.png,181,Jakarta Utara
1367627115,Tomat Merah (500gr) - Sayur ABOVE,Rp12.600,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/27/e92f03a9-e2bf-4cfd-a132-ee6249c9f11f.png,327,Jakarta Selatan
4396954989,Jamur Shitake Xiang Gu Hioko Fragrant Mushroom 100 g,Rp12.998,https://images.tokopedia.net/img/cache/200-square/product-1/2020/10/5/8947130/8947130_365ddf98-1fec-4659-b908-3ca8cc3d2932_700_700,1691,Jakarta Barat
