product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Palmolive Naturals Milk & Honey Body Wash 1L/Sabun Mandi,https://storage.googleapis.com/indo-astro/Palmolive_Naturals_Milk_&_Honey_Body_Wash_1L_Sabun_Mandi_1658808572707_PRODUCT_240x240.png,89400,46400,17,1000,1000
Palmolive Luminous Oils Shower Gel Invigorating Pouch 400ml,https://storage.googleapis.com/indo-astro/Palmolive_Luminous_Oils_Shower_Gel_Invigorating_Pouch_400ml_1656484364448_PRODUCT_240x240.png,37400,28000,2,192,400
Palmolive Luminous Oils Shower Gel Rejuvenating Pouch 400ml,https://storage.googleapis.com/indo-astro/Palmolive_Luminous_Oils_Shower_Gel_Rejuvenating_Pouch_400ml_1656484469922_PRODUCT_240x240.png,37400,28000,2,192,400
Dettol Sensitive Bodywash Lavender & White Musk Refill Pouch 450ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Dettol_Sensitive_Bodywash_Lavender_&_White_Musk_Refill_Pouch_450ml_Sabun_Mandi_PRODUCT_1646727153092_240x240.png,35400,,1,1000,450
MuTouch Shower Cream Goats Milk With Honey & Royal Jelly Pouch 800ml,https://storage.googleapis.com/indo-astro/MuTouch_Shower_Cream_Goats_Milk_With_Honey_&_Royal_Jelly_Pouch_800ml_PRODUCT_1646704787456_240x240.png,51800,,39,1000,800
MuTouch Shower Cream Goats Milk With Mulberry and Pearl Pouch 800ml,https://storage.googleapis.com/indo-astro/MuTouch_Shower_Cream_Goats_Milk_With_Mulberry_and_Pearl_Pouch_800ml_PRODUCT_1646704821210_240x240.png,51800,,17,1000,800
Giv Purple Passion Flower & Berry Body Wash Pouch 900ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Giv_Purple_Passion_Flower_&_Berry_Body_Wash_Pouch_900ml_Sabun_Mandi_PRODUCT_1646708444846_240x240.png,46700,,13,1000,900
Giv White Glowing White Mulberry & Collagen Body Wash Pouch 900ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Giv_White_Glowing_White_Mulberry_&_Collagen_Body_Wash_Pouch_900ml_Sabun_Mandi_PRODUCT_1646727338551_240x240.png,41100,,7,1000,100
Betadine Natural Defense Body Wash 500ml/Sabun Mandi,https://storage.googleapis.com/indo-astro/Betadine_Natural_Defense_Body_Wash_500ml_Sabun_Mandi_PRODUCT_1646641634714_240x240.png,70700,35300,6,1000,500
Scarlett Whitening Coffee Body Scrub 325gr,https://storage.googleapis.com/indo-astro/Scarlett_Whitening_Coffee_Body_Scrub_325gr_PRODUCT_1645086506319_240x240.png,75800,,5,1000,325
