product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Tricks Rendang Baked Crisps 15g isi 10pc - New Pack,https://storage.googleapis.com/indo-astro/Tricks_Rendang_Baked_Crisps_15g_isi_10pc_-_New_Pack_PRODUCT_1645879560999_240x240.png,12200,,6,1000,150
Tricks Bulgogi Baked Crisps 15g isi 10pc - New Pack,https://storage.googleapis.com/indo-astro/Tricks_Bulgogi_Baked_Crisps_15g_isi_10pc_-_New_Pack_PRODUCT_1645879569335_240x240.png,12200,,5,1000,150
Tricks Original Baked Crisps 15g isi 10pc - New Pack,https://storage.googleapis.com/indo-astro/Tricks_Original_Baked_Crisps_15g_isi_10pc_-_New_Pack_PRODUCT_1645879581744_240x240.png,12200,,7,1149.5,150
Tricks Kimchi Baked Crisps 15g isi 10pc - New Pack,https://storage.googleapis.com/indo-astro/Tricks_Kimchi_Baked_Crisps_15g_isi_10pc_-_New_Pack_PRODUCT_1645879590556_240x240.png,12200,,4,1000,150
Nongshim Shrimp Chips 75gr,https://storage.googleapis.com/indo-astro/Nongshim_Shrimp_Chips_75gr_PRODUCT_1644469485628_240x240.png,18500,,6,1000,75
Happy-tos Tortilla Chips Hot Chili 140gr,https://storage.googleapis.com/indo-astro/Happy-tos_Tortilla_Chips_Hot_Chili_140gr_1660101935434_PRODUCT_240x240.png,11100,7400,14,1000,140
Qtela Keripik Tempe Original  55gr,https://storage.googleapis.com/indo-astro/Qtela_Keripik_Tempe_Original__60gr_240x240.png,6500,,4,1000,55
Qtela Keripik Tempe Cabe Rawit 60gr,https://storage.googleapis.com/indo-astro/Qtela_Keripik_Tempe_Cabe_Rawit_60gr_240x240.png,6500,,9,1000,60
Aroma Black Summer Truffle Potato Chips Original 100gr/Keripik Kentang,https://storage.googleapis.com/indo-astro/Aroma_Black_Summer_Truffle_Potato_Chips_Original_100gr_Keripik_Kentang_240x240.png,131300,,5,1000,100
Chitato Ayam Bumbu 68gr,https://storage.googleapis.com/indo-astro/Chitato_Ayam_Bumbu_68gr_Potato_Chips_Keripik_Kentang_240x240.png,9900,,30,1000,68
Banana Chips Seaweed 80gr - Everything Banana,https://storage.googleapis.com/indo-astro/Banana_Chips_Seaweed_80gr_-_Everything_Banana_240x240.png,29800,23800,8,1000,80
