name,price,brandId,brandName,itemId,inStock,image
CARI SAYUR - Jahe [250 gr],3300,121239277,CARI SAYUR,1043240419,TRUE,https://id-test-11.slatic.net/p/66842aff6fd2bd29fac48ce39df3b918.jpg
Kangkung Darat 1 Ikat,3300,4484,No Brand,6064940282,TRUE,https://id-test-11.slatic.net/p/288cac4304c29ff09e8e6c691f215690.jpg
Bunga Kecombrang Medan Segar,3358,4484,No Brand,4741842199,TRUE,https://filebroker-cdn.lazada.co.id/kf/S49e2ae23d81848fbb82fa204609cd3f0d.jpg
Bawang Merah 50 gram,3365,4484,No Brand,1507034860,TRUE,https://id-test-11.slatic.net/p/7ed25cbfd85b93ec03da811df741cf83.jpg
650 biji benih seledri BONUS pupuk NPK 16-16-16ungul berkualitas,3366,4484,No Brand,5695162972,TRUE,https://filebroker-cdn.lazada.co.id/kf/S1399db2357ff4771a173ce1395c7db89E.jpg
Bunga Kecombrang/Rombeh Sayur,3367,4484,No Brand,5201946171,TRUE,https://filebroker-cdn.lazada.co.id/kf/Sadfa172c2d1645238157399d6941a732J.jpg
BAWANG MERAH BAWANG PUTIH CUTTING BAWANG BOMBAI EKONOMIS HEMAT TERJANGKAU BEREBES HONIAN BESAR SEDANG,3400,4484,No Brand,5585702768,TRUE,https://id-test-11.slatic.net/p/23d54e227c24471aafca16f6f2f636bb.jpg
Benih biji Unggul timun hijau lalap BONUS PUPUK NPK16-16-16 murah berkualitas,3400,4484,No Brand,5608478997,TRUE,https://filebroker-cdn.lazada.co.id/kf/S56766a613bad46ffb52080dc8243a66eo.jpg
KUNYIT PUTIH TEMU KUNIR KEMASAN 1 KG,3465,4484,No Brand,6099626729,TRUE,https://id-test-11.slatic.net/p/17da3a0911cab2993f3df4abedf116ae.jpg
ubi mereh 500g,3500,4484,No Brand,6662448201,TRUE,https://filebroker-cdn.lazada.co.id/kf/S6a6e879c0d154bedbb8200b71d5ad9d9O.jpg
Cabe Ijo Gede Segar per Bungkus Lombok Ijo Cabe Segar,3500,4484,No Brand,6431536673,TRUE,https://sg-test-11.slatic.net/p/7b52b759b6f5494d645f0b947c6fb6dd.png
(READY) Buah Pinang Muda Jambe - Pinang Muda Fresh 1 kg,1000,4484,No Brand,6544528064,TRUE,https://sg-test-11.slatic.net/p/edc34c650c1ff8f7ad91956f0d20b6b7.jpg
JAMBU CRISTAL SETENGAH KILO ISI 3-4 JAMBU CRISTAL MANIS JAMB CRISTAL ASLI KEBUMEN SANGAT RANGU DAN MURAH TANPA BIJU,1000,4484,No Brand,5808970174,TRUE,https://id-test-11.slatic.net/p/bb2ae638bbbaa28b53184cf6cb2ffbd3.jpg
CENGKEH KEMASAN 1 PCS,1000,41561,Lokal Brand,5999460329,TRUE,https://sg-test-11.slatic.net/p/6fdb515e2a9a105e125b8d5666515f73.jpg
"BISA COD BAYAR DITEMPAT Kolang kaling 0,5 kg gratis ongkir Kolang kaling segar murah Kolang kaling mentah Kolang kaling jumbo Kolang kaling Kolang kaling 500 gram murah Kolang kaling super KABAYAN STORE",1000,4484,No Brand,5950584964,TRUE,https://id-test-11.slatic.net/p/28e5dfbe274b7d1c5255b16eb0cccc71.jpg
buah pinang 1 kg gram baru petik,1000,4484,No Brand,6517316382,TRUE,https://sg-test-11.slatic.net/p/79ed480bf652b798c4e4394defdb0ca1.jpg
CABAI CABE CHILI LADA CABE KERING BABE BUBUK PEDAS,1500,4484,No Brand,5002206219,TRUE,https://id-test-11.slatic.net/p/8c73723bfe0e22b6215e953ac0acdbb6.jpg
SayurHD Sayur segar bunga kecombrang dijual per tangkai,1507,4484,No Brand,4830542026,TRUE,https://id-test-11.slatic.net/p/7fcdc82ca8da9a59ff028c35e76dbab0.jpg
Habbatussauda jintan hitam asli 10 gram habbatusaudah asli import arab saudi tester,1523.27,4484,No Brand,5796018870,TRUE,https://id-test-11.slatic.net/p/39ad4ef5a63e9eeeda402860170e20de.jpg
BUNGA KECOMBRANG MANIS UKURAN STICK 1pcs,1600,4484,No Brand,6159530876,TRUE,https://filebroker-cdn.lazada.co.id/kf/S4af04765b2b74e9288dd8d431937deb47.jpg
Jahe Merah Extrak Instan Sachet 25gram,1700,4484,No Brand,5598446734,TRUE,https://filebroker-cdn.lazada.co.id/kf/S3b90b795b3594d4eb280c7b11c12b73aa.jpg
"SAMBILOTO BUBUK / SERBUK SAMBILOTO MURNI non KAPSUL ORIGINAL KUALITAS SUPER , 100% ASLI REMPAH KUALITAS PREMIUM uk. SACHET",1800,4484,No Brand,5801004198,TRUE,https://id-test-11.slatic.net/p/5eed891100175564cfeb38cca8acedbc.jpg
siwoldawir1 BUAH KECUBUNG WULUNG SEGAR,1850,4484,No Brand,6145706534,TRUE,https://filebroker-cdn.lazada.co.id/kf/Sa75bc4f18ad846c7a53216036f9b0364M.jpg
"CHIASEED CHIASEEDS MEXICO / BIJI CHIA uk. Sachet , 100% ASLI ALAMI ORGANIK ORIGINAL KUALITAS PREMIUM",1867,4484,No Brand,5801654972,TRUE,https://id-test-11.slatic.net/p/0cf1efe0da4bce0651a3e653c487d3c2.jpg
SEREH LOKAL 250 GRAM / SEREH SEGAR TERMURAH,1900,4484,No Brand,6621550037,TRUE,https://id-test-11.slatic.net/p/d493f57450a8329abb1281b6d3ec41fc.jpg
